idNum,izvestaj,br,narucilac,maticni_broj,firma,opis_predmeta,predmet,cena_pdv,procenjena_cena,postupak,datum,broj_ponuda,br_nabavke
30,MO 2013 Q3,79,MO,7093608,FRESENIUS MEDICAL CARE,"СнПС за хемодијализу партије 2,9,10,11,14,15,26 до30",Dobra,12901000,12417000,Pregovarački postupak bez objavljivanja javnog poziva,03.09.2013.,6,678/13
33,MO 2013 Q3,110,MO,7093608, БЕОЛЕК,Поправка видео дуоденоскопа производње Pentax typ ED-3485T,Usluge,788000,660000,Pregovarački postupak bez objavljivanja javnog poziva,18.09.2013.,1,7603
145,MUP 2013 Q2,2,MUP,7008104,n/a,"Izgradnja druge faze VD u Lazarevcu, sredstvima iz donacije",Usluge,7181000,6667000,Otvoreni ,20/ jun 2013,11,ГЗР-187/12
3,MO 2013 Q2,33,MO,7093608,Неопланта,Mesne konzerve,Dobra,52060000,66770000,Otvoreni,"5.4.2013.
",5,011/13
15,MO 2013 Q2,175,MO,7093608,AMIGO TRADE,Konzervirana riba,Dobra,27470000,26550000,Otvoreni,5.5.2013.,3,011/13
16,MO 2013 Q2,187,MO,7093608,Chortan co,Tkanina,Dobra,60332000,61400000,Otvoreni,"
8.5.2013.",5,9/13
17,MO 2013 Q2,188,MO,7093608,CHORTAN CO,Košulje,Dobra,32251000,45975000,Otvoreni,8.5.2013.,5,9/13
19,MO 2013 Q2,203,MO,7093608,НАФТНА ИНДУСТИЈА СРБИЈЕ,Pogonska goriva,Dobra,41697000,38352000,Otvoreni,6.6.2013.,1,23/13
20,MO 2013 Q2,204,MO,7093608,НАФТНА ИНДУСТИЈА СРБИЈЕ,Mlazno gorivo,Dobra,50196000,46021000,Otvoreni,6.6.2013.,1,23/13
22,MO 2013 Q3,30,MO,7093608,КОРПИКО доо,Чизмице и ципеле,Dobra,26904000,23760000,Otvoreni,12.08.2013.,2,28/13
23,MO 2013 Q3,31,MO,7093608,RANEX d.o.o.,Опрема за ендоскопску и лапароскопску хирургију - Партија 1: FULL HD видео систем са апаратима за лапараскопију,Dobra,8906000,7667000,Otvoreni,12.08.2013.,1,37/13
24,MO 2013 Q3,34,MO,7093608,"Marinković Hofmann"" do.o. Велика Моштаница",Уређаји за контролу и одржавање моторних возила,Dobra,10398000,14440000,Otvoreni,13.08.2013.,1,43/13
25,MO 2013 Q3,38,MO,7093608, ТРЕЗОР ВОЛГА доо,чарапе п/с,Dobra,11419000,16051000,Otvoreni,13.08.2013.,4,28/13
27,MO 2013 Q3,54,MO,7093608,''Viva-tex'' doo,Постељна опрема,Dobra,12482000,11123000,Otvoreni,19.08.2013.,3,34/13
28,MO 2013 Q3,57,MO,7093608,''Viva-tex'' doo,"Одећа за лекаре, остало санитетско особље и пиџаме болесничке",Dobra,14673000,13960000,Otvoreni,19.08.2013.,1,34/13
29,MO 2013 Q3,63,MO,7093608,"""VALHALL"" д.о.о","Тримери, косачице и тестере",Dobra,8728000,8296000,Otvoreni,21.08.2013.,2,17/13
31,MO 2013 Q3,83,MO,7093608,"Предузеће за производњу,монтажу,ремонт и сервис лифтова и покретних степеница ""vVMPS"" doo",месечно одржавање 26 лифтова у току 2013 и 2014 године са дежурством у ван радно време и празником у објекту ВМА,Usluge,5616000,4680000,Otvoreni,08.09.2013.,1,661/13
32,MO 2013 Q3,90,MO,7093608,"""NAFTNA INDUSTRIJA SRBIJE"" A.D. Нови Сад",Пратећа погонска средства,Dobra,18364000,23608000,Otvoreni,11.09.2013.,7,14/13
34,MO 2013 Q3,114,MO,7093608,ГЕПАРД доо,Чизме војничке универзалне,Dobra,51041000,42600000,Otvoreni,20.09.2013,1,31/13
35,MO 2013 Q3,116,MO,7093608,VIVA TEX доо,панталоне војничке маскирне,Dobra,15047000,17024000,Otvoreni,23.09.2013,3,31/13
36,MO 2013 Q3,124,MO,7093608,"ГП ""МОРАВА ИН"" доо","Адаптација простора на II етажи, ламела RR1 објекта ВМА за потребе смештаја ИЗОЛАТОРА",Radovi,7123000,8083000,Otvoreni,26.09.2013.,2,1/13
37,MO 2013 Q4,14,MO,7093608,IBIS INSTRUMENTS,Анализатор мреже (Network Analyzer),Dobra,8100000,7597000,Otvoreni,03.10.3013.,4,52/13
38,MO 2013 Q4,16,MO,7093608,BEOLASER,"Апарат ултразвучни са комплетом сонди за преглед абдомена, бубрега, штитасте жлезде и крвних судова за потребе Клинике за нефрологију ВМА",Dobra,5052000,5000000,Otvoreni,03.10.2013.,2,35/13
39,MO 2013 Q4,17,MO,7093608,Comes doo,репроматеријал штампарски: папир и картон,Dobra,6848000,5170000,Otvoreni,08.10.2013.,1,2018
40,MO 2013 Q4,18,MO,7093608,Comes doo,репроматеријал штампарски: папир и картон,Dobra,5360000,4700000,Otvoreni,18.10.2013.,1,2018
41,MO 2013 Q4,21,MO,7093608,"""Енерготок"" д.о.о.",Радови на ремонту и припреми термоенергетских постројењa,Radovi,14932000,15000000,Otvoreni,08.10.2013.,2,5776
42,MO 2013 Q4,27,MO,7093608,НИС'' а.д,"Уље за ложење, средње С",Dobra,257671000,208285000,Otvoreni,14.10.2013.,1,71/2013
43,MO 2013 Q4,35,MO,7093608,Clas comerc doo,део складишних артикала хране-пастеризовано поврће,Dobra,8370000,9100000,Otvoreni,24.10.2013.,4,60/13
44,MO 2013 Q4,37,MO,7093608, Special coop doo,део складишних артикала хране-мед природни багремов,Dobra,5149000,5200000,Otvoreni,24.10.2013.,1,60/13
45,MO 2013 Q4,39,MO,7093608,"Институт ""ИМС"" ад.","Утврђивање квалитета армирано-бетонске конструкције на објекту ""24"" у II МЗ Бежанијска Коса",Usluge,1295000,1833000,Otvoreni,24.10.2013.,1,5/2013
46,MO 2013 Q4,42,MO,7093608,Wizard doo,део складишних артикала хране-стерилисано поврће,Dobra,9947000,9325000,Otvoreni,25.10.2013.,1,60/13
47,MO 2013 Q4,45,MO,7093608,"""ВЕТЕРИНАРСКИ ЗАВОД СУБОТИЦА"" А.Д.",Храна за лабораторијске животиње,Dobra,4057000,3697000,Otvoreni,28.10.2013.,1,60/13
48,MO 2013 Q4,46,MO,7093608,ПКБ велепродаја продукт,део складишних артикала хране-пасуљ у зрну,Dobra,10886000,10240000,Otvoreni,01.11.2013,2,60/30
49,MO 2013 Q4,56,MO,7093608,''НИС'' а.д.,Погонска горива,Dobra,233418000,204825000,Otvoreni,12.11.2013.,1,77/13
50,MO 2013 Q4,57,MO,7093608,''НИС'' а.д.,Погонска горива,Dobra,69150000,5904000,Otvoreni,14.11.2013.,1,77/13
51,MO 2014 Q1,16,MO,7093608,Т.П. ''Месокомбинат-промет'' д.о.о,Јунеће и свињско месо,Dobra,152130000,159000000,Otvoreni,15.1.2014.,4,1/2014
52,MO 2014 Q1,18,MO,7093608,СЗТР ''Ђурђевић'',"производи од јунећег, свињског меса",Dobra,100236000,107365000,Otvoreni,15.1.2014.,3,2/2014
53,MO 2014 Q1,22,MO,7093608,''Paxel'' доо,месне конзерве,Dobra,62700000,66600000,Otvoreni,17.1.2014.,2,2/2014
54,MO 2014 Q1,25,MO,7093608,ЕПС СНАБДЕВАЊЕ,Електрична енергија,Dobra,47225000,39354000,Otvoreni,27.1.2014.,1,50-4
55,MO 2014 Q1,27,MO,7093608,"ДОО. ""Одржавање и услуге""",Набавка услуге припремања и допремања оброка готове хране,Usluge,16665000,15204000,Otvoreni,28.1.2014.,1,50-6
56,MO 2014 Q1,32,MO,7093608,AVE PHARMACEUTICAL,Свеже млеко и млечни производи,Dobra,70344000,68270000,Otvoreni,31.1.2014.,1,131
57,MO 2014 Q1,37,MO,7093608,ЕПС СНАБДЕВАЊЕ,Електрична енергија,Dobra,35000000,35000000,Otvoreni,5.2.2014.,1,26-364
58,MO 2014 Q1,40,MO,7093608,'НИС'' а.д.,Лож уље - уље за ложење средње С,Dobra,820227000,832000000,Otvoreni,07.02.2014.,1,7/2014
59,MO 2014 Q1,45,MO,7093608,'НИС'' а.д.,Лож уље - Гасно уље екстра лако евро ЕЛ,Dobra,520812000,506900000,Otvoreni,11.2.2014.,1,8/2014
60,MO 2014 Q1,51,MO,7093608,FRESHLINE,Свеже воће и поврће,Dobra,134070000,121384000,Otvoreni,14.02.2014.,2,129
61,MO 2014 Q1,58,MO,7093608,ЕПС СНАБДЕВАЊЕ,Електрична енергија,Dobra,43000000,35833000,Otvoreni,25.2.2014.,1,1
62,MO 2014 Q1,60,MO,7093608,ЕПС СНАБДЕВАЊЕ Д.О.О.,Електрична енергија,Dobra,108500000,90417000,Otvoreni,25.2.2014.,1,82
63,MO 2014 Q1,61,MO,7093608, ''НИС'' а.д.,погонско гориво (гасно уље евродизел),Dobra,522018000,427100000,Otvoreni,26.02.2014.,1,5/2014
64,MO 2014 Q1,62,MO,7093608,'НИС'' а.д.,погонско гориво (безоловни моторни бензин),Dobra,170445000,146875000,Otvoreni,26.2.2014.,1,5/2014
65,MO 2014 Q1,64,MO,7093608,'НИС'' а.д.,погонско гориво (млазно гориво),Dobra,331200000,287500000,Otvoreni,27.2.2014.,1,5/2014
66,MO 2014 Q1,66,MO,7093608,ЕПС СНАБДЕВАЊЕ,Електрична енергија,Dobra,60000000,50000000,Otvoreni,28.2.2014.,1,402-1
68,MO 2014 Q2,11,MO,7093608,Good will-wg,Ugalj mrki separisani,Dobra,90179000,114456000,Otvoreni,3.4.2014.,10,0006/2014
69,MO 2014 Q2,16,MO,7093608,: Special Coop doo,Sir topljeni,Dobra,41907000,51040000,Otvoreni,9.4.2014.,2,3/2014
70,MO 2014 Q2,29,MO,7093608,КРИП ИНЖЕЊЕРИНГ,"Izvođenje prethodnih radova i izrada TD za izgradnju objekta Komande centra za obuku jedinica za multinacionalne operacije u bazi ""Jug"" vk. ""Cepotina"" sa pratećom infrastrukturom",Usluge,299000,1250000,Otvoreni,16.4.2014.,4,1/14
71,MO 2014 Q2,30,MO,7093608,VIVA-TEX,Unforma M-93,Dobra,26349000,27118000,Otvoreni,,3,11/14
72,MO 2014 Q2,32,MO,7093608,ДОН ДОН,Zamrznuti bureci i pite,Dobra,24680000,32420000,Otvoreni,22.4.2014.,5,14/2014
73,MO 2014 Q2,33,MO,7093608,ИМ ТОПОЛА,Gotova jela,Dobra,29424000,25450000,Otvoreni,22.4.2014,2,15/2014
74,MO 2014 Q2,44,MO,7093608,SELEKTA,Hleb i pecivo za sendviče,Dobra,25448000,40130000,Otvoreni,29.4.2014.,1,15217
75,MO 2014 Q2,61,MO,7093608,AMIGO TRADE,Zamrznuta morska riba,Dobra,29502000,36700000,Otvoreni,6.5.2014.,5,20/2014
76,MO 2014 Q2,62,MO,7093608,BOOKMARK,Riblje konzerve,Dobra,23940000,25050000,Otvoreni,6.5.2014.,5,20/2014
77,MO 2014 Q2,63,MO,7093608,БОМИНГ,"Popravka krova iznad mezanina u objektu KN-9 zgrada ""5"", Nemanjina 15",Radovi,3281000,3333000,Otvoreni,7.5.2014.,2,3/14
78,MO 2014 Q2,66,MO,7093608,Паланка промет д.о.о,"Pileće meso, zamrznuto",Dobra,58438000,55475000,Otvoreni,16.5.2014.,1,26/2014
79,MO 2014 Q2,68,MO,7093608,Д.О.О.ВУКОВИЋ 1967,Električna energija,Usluge,343500000,286250000,Otvoreni,21.5.2014.,2,38/14
80,MO 2014 Q2,72,MO,7093608,ГРАДСКИ ЗАВОД ЗА ВЕШТАЧЕЊЕ,Tehnički pregled objekta br. 29 na lokaciji II MZ Bežanijska kosa,Usluge,260000,708000,Otvoreni,30.5.2014.,3,4/14
82,MO 2014 Q2,85,MO,7093608,"Група понуђача: ""ВИЗАНТИЈА ТРЕНД"", ""БС ПРОЈЕКТ 2009"", ""ТЕХНИЧКА ШКОЛА","Izvođenje građevinsko-zanatskih i instalaterskih radova na uređenju stanova u Subotici (Somboru, N. Sadu, Nakovu, Užicu, V. Plani, Raškoj)",Radovi,1119000,1500000,Otvoreni,4.6.2014.,3,2/14
83,MO 2014 Q2,86,MO,7093608,"Група понуђача: ""ВИЗАНТИЈА ТРЕНД"", ""БС ПРОЈЕКТ 2009"", ""ТЕХНИЧКА ШКОЛА""","Izvođenje građevinsko-zanatskih i instalaterskih radova na uređenju stanova u Novom Sadu (Somboru, Subotici, Nakovu, Užicu, V. Plani, Raškoj)",Radovi,1180000,1500000,Otvoreni,4.6.2014.,3,2/14
84,MO 2014 Q2,87,MO,7093608,"Група понуђача: ""ПРИМАТ М"", ""ТАТОВИЋ"", СЗР ""ЗАНАТ СЕРВИСА""","Izvođenje građevinsko-zanatskih i instalaterskih radova na uređenju stanova u Somboru (Subotici,Novom Sadu, Nakovu, Užicu, Velikoj Plani, Raškoj)",Radovi,2074000,2333000,Otvoreni,5.6.2014,4,2/14
85,MO 2014 Q2,88,MO,7093608,"Група понуђача: ""ПРИМАТ М"", ""ТАТОВИЋ"", СЗР ""ЗАНАТ СЕРВИС""","Izvođenje građevinsko-zanatskih i instalaterskih radova na uređenju stanova u V. Plani, (Somboru, Subotici, N.Sadu, Nakovu, Užicu, Raškoj)",Radovi,1122000,1250000,Otvoreni,5.6.2014.,6,2/14
86,MO 2014 Q2,89,MO,7093608,"Група понуђача: ЈП ""СТАН"", "" 24.СЕПТЕМБАР""","Izvođenje građevinsko-zanatskih i instalaterskih radova na uređenju stanova u Užicu, (Somboru, Subotici, N.Sadu, Nakovu, V. Plani, Raškoj)",Radovi,4702000,4317000,Otvoreni,5.6.2014.,6,2/14
87,MO 2014 Q2,93,MO,7093608,АБ&CO GEOSYSTEMS,"Geodetsko snimanje objekta ""29"" II MZ Bežanijska kosa",Usluge,54000,75000,Otvoreni,11.6.2014.,2,7/14
88,MO 2014 Q2,102,MO,7093608,МАКСИМ ГРАДЊА д.о.о,"Beograd, VMA - Zamena spuštenog plafona i rasvete u holu (specijalistička poliklinika)",Radovi,8629000,9167000,Otvoreni,13.6.2014,2,70/14
89,MO 2014 Q2,103,MO,7093608,Amphora д.о.о.,Kancelarijski i birotehnički potrošni materijal,Dobra,4578000,6850000,Otvoreni,6/14/2014,1,5-10
90,MO 2014 Q2,105,MO,7093608,"Група понуђача: ""ПРИМАТ М"", ""ТАТОВИЋ"", СЗР ""ЗАНАТ СЕРВИС""","Izvođenje građevinsko-zanatskih i instalaterskih radova na uređenju stanova u Raškoj, (Somboru, Subotici, N.Sadu,Nakovu, Užicu, V.Plani)",Radovi,1016000,667000,Otvoreni,16.6.2014.,5,2/14
91,MO 2014 Q2,106,MO,7093608,ГЕОПУТ,"Izrada PDR za radarski položaj ""Veliki Strešer""-geodetsko snimanje, pribavljanje tehničkih uslova za izgradnju primarne infrastrukture i izrada urbanističke dokumentacije",Usluge,168000,254000,Otvoreni,17.6.2014.,9,6/14
94,MO 2014 Q2,112,MO,7093608,КРИП ИНЖЕЊЕРИНГ,"Beograd, VTI Žarkovo-IzradaTD za klimatizaciju laboratorije za ispitivanje tekstila, kože i obuće",Usluge,144000,208000,Otvoreni,23.6.2014.,3,8/14
96,MO 2014 Q3,7,MO,7093608,BEOHEM-3,"Lekovi za opštu antiinfekcijsku sistemsku primenu, imunoglobulini, antineoplastici imunomodulatori partije 46 i 51",Dobra,25146000,22984000,Otvoreni,1.7.2014,1,51/14
97,MO 2014 Q3,13,MO,7093608,ADOC,"Lekovi za opštu antiinfekcijsku sistemsku primenu, imunoglobulini, antineoplastici imunomodulatori partije: 52,54,73 i 74",Dobra,39675000,39675000,Otvoreni,2.7.2014.,1,
98,MO 2014 Q3,21,MO,7093608,FARMALOGIST,"Lekovi za opštu antiinfekcijsku sistemsku primenu, imunoglobulini, antineoplastici imunomodulatori partije 6,7,14,20,21,23,26,27,28,29,35,37,38,41,45 i 53,",Dobra,31631000,35711000,Otvoreni,4.7.20141,3,51/14
99,MO 2014 Q3,24,MO,7093608,Индустроградња ОЗЗ Београд,"Zidarski, stolarski, molerski i radovi na krovu objekata za potrebe VP 5302 Požarevac",Radovi,1619000,1842000,Otvoreni,8.7.2014.,3,164
100,MO 2014 Q3,32,MO,7093608,Техномонт Сврљиг,"Radovi na vodovodu, kanalizaciji, instalacijama centralnog grejanja i električnim instalacijama za potrebe VP 5302 Požarevac",Radovi,659000,1583000,Otvoreni,15.7.2014.,1,195
101,MO 2014 Q3,33,MO,7093608,BMA TRADING,"papir toaletni u rolni, papir ubrusni u rolni, salveta papirna, složivi papirni ubrusi za dozatore i složivi toalet papir za dozatore",Dobra,31241000,35310000,Otvoreni,15.7.2014.,2,23/2014
102,MO 2014 Q3,57,MO,7093608,ДЕМЕТРА РБ ДОО,Usluge sadnje i održavanja zelenih površina,Usluge,5497000,8417000,Otvoreni,21.7.2014.,4,32/14
103,MO 2014 Q3,62,MO,7093608,NIS,Gasno ulje-Evro dizel klase A,Dobra,161962000,141400000,Otvoreni,23.7.2014.,1,35/2014
104,MO 2014 Q3,63,MO,7093608,NIS,Evro premijum BMB 95,Dobra,32467000,28200000,Otvoreni,23.7.2014.,1,35/2014
105,MO 2014 Q3,70,MO,7093608,Хидроенерго пројект ДОО,Usluge sadnje i održavanja zelenih površina,Usluge,988000,8417000,Otvoreni,24.7.2014.,4,32/14
106,MO 2014 Q3,72,MO,7093608,NIS,Mlazno gorivo JET A1,Dobra,68115000,59896000,Otvoreni,24.7.2014,1,35/2014
107,MO 2014 Q3,89,MO,7093608,ГРАППА д.о.о.,Servis rashladnog postrojenja partija 1,Usluge,2740000,2333000,Otvoreni,28.7.2014.,1,89/14
108,MO 2014 Q3,91,MO,7093608,CLAS COMERC,"Cvekla, krastavci, paprika",Dobra,24060000,24300000,Otvoreni,28.7.2014.,2,47/2014
109,MO 2014 Q3,95,MO,7093608,ДИМЊИЧАР а.д,"Mehaničko i hemijsko čišđenje kotlova i dimnjaka kotlarnica, opreme u objektu VMA, servis split sistema i zamena cevovoda partija 2",Usluge,3527000,2942000,Otvoreni,30.7.2014.,1,89/14
110,MO 2014 Q3,113,MO,7093608,ВМПС,"Održavanje, servisiranje, tehnički pregled i prilagođavanje liftova novim tehničkim propisima i pokretnih stepenica partija 4 (isporuka i ugradnja svetlosnih zavesa i dig pokaz.spratnosti )",Usluge,1082000,1000000,Otvoreni,7.8.2014.,1,127/14
111,MO 2014 Q3,115,MO,7093608,GEPARD,"Cipele vojničke, čizme vojničke",Dobra,46633000,38866000,Otvoreni,7.8.2014.,1,41/2014
112,MO 2014 Q3,119,MO,7093608,ВМПС д. о. о.,Usluga redovnog mesečnog održavanja liftova u objektu VMA (26liftova) u toku 2014/2015.g sa dežurstvom van radnog vremena i praznikom partija 1,Usluge,6000000,5000000,Otvoreni,11.8.2014.,1,127/14
114,MO 2014 Q3,135,MO,7093608,THYSSEN KRUPP ELEVATORI,Usluga redovnog mesečnog održavanja 8 krakova pokretnih stepenica u objektu VMA za 2014/2015g i godišnji servis 8 krakova pokretnih stepenica u objektu VMA za 2014/2015g partija 2,Usluge,1200000,1000000,Otvoreni,19.8.2014.,1,127/14
115,MO 2014 Q3,161,MO,7093608,"СЗР ""ТОНИНГ""","Investiciono održavanje (stanova, garaža, adaptiranih poslovnih prostora i uređenje deložiranih stanova) u nadležnosti O2/VGC ""Beograd""",Radovi,3552000,4083000,Otvoreni,2.9.2014.,7,14/14
116,MO 2014 Q3,166,MO,7093608,FARMALOGIST,"Lekovi za humanu upotrebu p1,2,3,5,6,10,18,21,27,28,31,32,33,40,41,42,43,44,45,46,53,54,58,59,63,64,66,69,70,71,73,74,76,77,78,82,85,94,96,97,99,103,106,107,109,111,120,121,122,124,125,126,133,135,150,153,154,163,169,170,171,174,184,185,186,187,195",Dobra,42341000,48192000,Otvoreni,5.9.2014.,3,57/14
117,MO 2014 Q3,194,MO,7093608,ОНИКС ДОО,"popravka zidnih keramičkih obloga, zamena fiksne krovne svetlosne kupole i popravka betonskih zidova i staza",Radovi,672000,700000,Otvoreni,12.9.2014.,1,55/14
118,MO 2014 Q3,205,MO,7093608,"Институт за превентиву, заштитут на раду, противпожарну заштиту и развој ДОО",Ispitivanje instalacija i uređaja u protiveksplozivnoj EKS zaštiti,Radovi,862000,1100000,Otvoreni,16.9.2014.,1,55/14
119,MO 2014 Q3,215,MO,7093608,"Ти-Кар трговине, Николе Пашића 213",Nalivanje gume na potporne točkove borbenih vozila,Usluge,2655000,2236000,Otvoreni,19.9.2014.,1,ЈНОП 7-3/14
120,MO 2014 Q3,228,MO,7093608,СЦП д. о о.,"Usluga remonta pumpi za vodu i grejanje u objektu VMA u toku 2014/2015.g"" partija 1",Usluge,1000000,833000,Otvoreni,29.9.2014.,4,197/14
121,MO 2014 Q3,229,MO,7093608, МИКРОМОТОР д.о.о.,"Услуга поправке електромотора у обејкту ВМА у току 2014/2015.г"" партија 2",Usluge,700000,583000,Otvoreni,29.9.2014.,2,197/14
122,MO 2014 Q4,3,MO,7093608,КОТЛОВИ д.о.о. Петроварадин,Usluge popravke i održavanja centralnog grejanja,Usluge,4647000,3875000,Otvoreni,1.10.2014.,1,25-78
123,MO 2014 Q4,91,MO,7093608,"Омладинска задруга ""Чачак""",Tehnička podrška na mašinama,Usluge,1906000,1910000,Otvoreni,20.10.2014.,1,252
124,MO 2014 Q4,93,MO,7093608,Beteco,Košulje od ''platno'' tkanine,Dobra,45845000,39279000,Otvoreni,21.10.2014.,5,22/2014
125,MO 2014 Q4,113,MO,7093608,DEWACO,Tegljač sa sedlom i poluprikolicom,Dobra,128826000,108333000,Otvoreni,23.10.2014.,1,44/2014
126,MO 2014 Q4,125,MO,7093608,Zora super sport,"Tekstilni proizvodi za domaćinstvo: čaršavi, navlake, vreće za prenos rublja",Dobra,19565000,20880000,Otvoreni,27.10.2014.,6,42/2014
127,MO 2014 Q4,130,MO,7093608,Royaltours,Obezbeđenje avio karata i hotelskog smeštaja za službena putovanja u inostranstvo,Usluge,107605000,89657000,Otvoreni,28.10.2014.,7,106/2014
