IdDelatnost,Naziv
3011,Изградња бродова и пловних објеката
3012,Израда чамаца за спорт и разоноду
3020,Производња локомотива и шинских возила
3030,Производња ваздушних и свемирских летелица и одговарајуће опреме
3040,Производња борбених војних возила
3091,Производња мотоцикала
3092,Производња бицикала и инвалидских колица
3099,Производња остале транспортне опреме
3101,Производња намештаја за пословне и продајне просторе
3102,Производња кухињског намештаја
3103,Производња мадраца
3109,Производња осталог намештаја
3211,Ковање новца
3212,Производња накита и сродних предмета
3213,Производња имитације накита и сродних производа
3220,Производња музичких инструмената
3230,Производња спортске опреме
3240,Производња игара и играчака
3250,Производња медицинских и стоматолошких инструмената и материјала
3291,Производња метли и четки
3299,Производња осталих предмета
3311,Поправка металних производа
3312,Поправка машина
3313,Поправка електронске и оптичке опреме
3314,Поправка електричне опреме
3315,Поправка и одржавање бродова и чамаца
3316,Поправка и одржавање летелица и свемирских летелица
3317,Поправка и одржавање друге транспортне опреме
3319,Поправка остале опреме
3320,Монтажа индустријских машина и опреме
3511,Производња електричне енергије
3512,Пренос електричне енергије
3513,Дистрибуција електричне енергије
3514,Трговина електричном енергијом
3521,Производња гаса
3522,Дистрибуција гасовитих горива гасоводом
3523,Трговина гасовитим горивима преко гасоводне мреже
3530,Снабдевање паром и климатизација
3600,"Скупљање, пречишћавање и дистрибуција воде"
3700,Уклањање отпадних вода
3811,Скупљање отпада који није опасан
3812,Скупљање опасног отпада
3821,Третман и одлагање отпада који није опасан
3822,Третман и одлагање опасног отпада
3831,Демонтажа олупина
3832,Поновна употреба разврстаних материјала
3900,"Санација, рекултивација и друге услуге у области управљања отпадом"
4110,Разрада грађевинских пројеката
4120,Изградња стамбених и нестамбених зграда
4211,Изградња путева и аутопутева
4212,Изградња железничких пруга и подземних железница
4213,Изградња мостова и тунела
4221,Изградња цевовода
4222,Изградња електричних и телекомуникационих водова
4291,Изградња хидротехничких објеката
4299,Изградња осталих непоменутих грађевина
4311,Рушење објеката
4312,Припремна градилишта
4313,Испитивање терена бушењем и сондирањем
4321,Постављање електричних инсталација
4322,"Постављање водоводних, канализационих, грејних и климатизационих система"
4329,Остали инсталациони радови у грађевинарству
4331,Малтерисање
4332,Уградња столарије
4333,Постављање подних и зидних облога
4334,Бојење и застакљивање
4339,Остали завршни радови
4391,Кровни радови
4399,Остали непоменути специфични грађевински радови
4511,Трговина аутомобилима и лаким моторним возилима
4519,Трговина осталим моторним возилима
4520,Одржавање и поправка моторних возила
4531,Трговина на велико деловима и опремом за моторна возила
4532,Трговина на мало деловима и опремом за моторна возила
4540,"Трговина мотоциклима, деловима и прибором, одржавање и поправка мотоцикала"
4611,"Посредовање у продаји пољопривредних сировина, животиња, текстилних сировина и полупроизвода"
4612,"Посредовање у продаји горива, руда, метала и индустријских хемикалија"
4613,Посредовање у продаји дрвне грађе и грађевинског материјала
4614,"Посредовање у продаји машина, индустријске опреме, бродова и авиона"
4615,"Посредовање у продаји намештаја, предмета за домаћинство и металне робе"
4616,"Посредовање у продаји текстила, одеће, крзна, обуће и предмета од коже"
4617,"Посредовање у продаји хране, пића и дувана"
4618,Специјализовано посредовање у продаји посебних производа
4619,Посредовање у продаји разноврсних производа
4621,"Трговина на велико житом, сировим дуваном, семењем и храном за животиње"
4622,Трговина на велико цвећем и садницама
4623,Трговина на велико животињама
4624,"Трговина на велико сировом, недовршеном и довршеном кожом"
4631,Трговина на велико воћем и поврћем
4632,Трговина на велико месом и производима од меса
4633,"Трговина на велико млечним производима, јајима и јестивим уљима и мастима"
4634,Трговина на велико пићима
4635,Трговина на велико дуванским производима
4636,"Трговина на велико шећером, чоколадом и слаткишима"
4637,"Трговина на велико кафом, чајевима, какаом и зачинима"
4638,"Трговина на велико осталом храном, укључујући рибу, љускаре и мекушце"
4639,"Неспецијализована трговина на велико храном, пићима и дуваном"
4641,Трговина на велико текстилом
4642,Трговина на велико одећом и обућом
4643,Трговина на велико електричним апаратима за домаћинство
4644,"Трговина на велико порцуланом, стакленом робом и средствима за чишћење"
4645,Трговина на велико парфимеријским и козметичким производима
4646,Трговина на велико фармацеутским производима
4647,"Трговина на велико намештајем, теписима и опремом за осветљење"
4648,Трговина на велико сатовима и накитом
4649,Трговина на велико осталим производима за домаћинство
4651,"Трговина на велико рачунарима, рачунарском опремом и софтверима"
4652,Трговина на велико електронским и телекомуникационим деловима и опремом
4661,"Трговина на велико пољопривредним машинама, опремом и прибором"
4662,Трговина на велико алатним машинама
4663,Трговина на велико рударским и грађевинским машинама
4664,Трговина на велико машинама за текстилну индустрију и машинама за шивење и плетење
4665,Трговина на велико канцеларијским намештајем
4666,Трговина на велико осталим канцеларијским машинама и опремом
4669,Трговина на велико осталим машинама и опремом
4671,"Трговина на велико чврстим, течним и гасовитим горивима и сличним производима"
4672,Трговина на велико металима и металним рудама
4673,"Трговина на велико дрветом, грађевинским материјалом и санитарном опремом"
4674,"Трговина на велико металном робом, инсталационим материјалима, опремом и прибором за грејање"
4675,Трговина на велико хемијским производима
4676,Трговина на велико осталим полупроизводима
4677,Трговина на велико отпацима и остацима
4690,Неспецијализована трговина на велико
4711,"Трговина на мало у неспецијализованим продавницама, претежно храном, пићима и дуваном"
4719,Остала трговина на мало у неспецијализованим продавницама
4721,Трговина на мало воћем и поврћем у специјализованим продавницама
4722,Трговина на мало месом и производима од меса у специјализованим продавницама
4723,"Трговина на мало рибом, љускарима и мекушцима у специјализованим продавницама"
4724,"Трговина на мало хлебом, тестенином, колачима и слаткишима у специјализованим продавницама"
4725,Трговина на мало пићима у специјализованим продавницама
4726,Трговина на мало производима од дувана у специјализованим продавницама
4729,Остала трговина на мало храном у специјализованим продавницама
4730,Трговина на мало моторним горивима у специјализованим продавницама
4741,"Трговина на мало рачунарима, периферним јединицама и софтвером у специјализованим продавницама"
4742,Трговина на мало телекомуникационом опремом у специјализованим продавницама
4743,Трговина на мало аудио и видео опремом у специјализованим продавницама
4751,Трговина на мало текстилом у специјализованим продавницама
4752,"Трговина на мало металном робом, бојама и стаклом у специјализованим продавницама"
4753,"Трговина на мало теписима, зидним и подним облогама у специјализованим продавницама"
4754,Трговина на мало електричним апаратима за домаћинство у специјализованим продавницама
4759,"Трговина на мало намештајем, опремом за осветљење и осталим предметима за домаћинство у специјализованим продавницама"
4761,Трговина на мало књигама у специјализованим продавницама
4762,Трговина на мало новинама и канцеларијским материјалом у специјализованим продавницама
4763,Трговина на мало музичким и видео записима у специјализованим продавницама
4764,Трговина на мало спортском опремом у специјализованим продавницама
4765,Трговина на мало играма и играчкама у специјализованим продавницама
4771,Трговина на мало одећом у специјализованим продавницама
4772,Трговина на мало обућом и предметима од коже у специјализованим продавницама
4773,Трговина на мало фармацеутским производима у специјализованим продавницама – апотекама
4774,Трговина на мало медицинским и ортопедским помагалима у специјализованим продавницама
4775,Трговина на мало козметичким и тоалетним производима у специјализованим продавницама
4776,"Трговина на мало цвећем, садницама, семењем, ђубривима, кућним љубимцима и храном за кућне љубимце у специјализованим продавницама"
4777,Трговина на мало сатовима и накитом у специјализованим продавницама
4778,Остала трговина на мало новим производима у специјализованим продавницама
4779,Трговина на мало половном робом у продавницама
4781,"Трговина на мало храном, пићима и дуванским производима на тезгама и пијацама"
4782,"Трговина на мало текстилом, одећом и обућом на тезгама и пијацама"
4789,Трговина на мало осталом робом на тезгама и пијацама
4791,Трговина на мало посредством поште или преко интернета
4799,"Остала трговина на мало изван продавница, тезги и пијаца"
4910,"Железнички превоз путника, даљински и регионални"
4920,Железнички превоз терета
4931,Градски и приградски копнени превоз путника
4932,Такси превоз
4939,Остали превоз путника у копненом саобраћају
4941,Друмски превоз терета
4942,Услуге пресељења
4950,Цевоводни транспорт
5010,Поморски и приобални превоз путника 
5020,Поморски и приобални превоз терета
5030,Превоз путника унутрашњим пловним путевима
5040,Превоз терета унутрашњим пловним путевима
5110,Ваздушни превоз путника
5121,Ваздушни превоз терета
5122,Васионски саобраћај
5210,Складиштење
5221,Услужне делатности у копненом саобраћају
5222,Услужне делатности у воденом саобраћају
5223,Услужне делатности у ваздушном саобраћају
5224,Манипулација теретом
5229,Остале пратеће делатности у саобраћају
5310,Поштанске активности јавног сервиса
5320,Поштанске активности комерцијалног сервиса
5510,Хотели и сличан смештај
5520,Одмаралишта и слични објекти за краћи боравак
5530,"Делатност кампова, ауто-кампова и кампова за туристичке приколицe"
5590,Остали смештај
5610,Делатности ресторана и покретних угоститељских објекта
5621,Кетеринг
5629,Остале услуге припремања и послуживања хране
5630,Услуге припремања и послуживања пића
5811,Издавање књига
5812,Издавање именика и адресара
5813,Издавање новина
5814,Издавање часописа и периодичних издања
5819,Остала издавачка делатност
5821,Издавање рачунарских игара
5829,Издавање осталих софтвера
5911,"Производња кинематографских дела, аудио-визуелних производа и телевизијског програма"
5912,Делатности које следе након фазе снимања у производњи кинематографских дела и телевизијског програма
5913,"Дистрибуција кинематографских дела, аудио-визуелних дела и телевизијског програма"
5914,Делатност приказивања кинематографских дела
5920,Снимање и издавање звучних записа и музике
6010,Емитовање радио-програма
6020,Производња и емитовање телевизијског програма
6110,Кабловске телекомуникације 
6120,Бежичне телекомуникације
6130,Сателитске телекомуникације
6190,Остале телекомуникационе делатности
6201,Рачунарско програмирање
6202,Консултантске делатности у области информационе технологије
6203,Управљање рачунарском опремом
6209,Остале услуге информационе технологије
6311,"Обрада података, хостинг и сл."
6312,Веб портали
6391,Делатности новинских агенција
6399,Информационе услужне делатности на другом месту непоменуте 
6411,Централна банка
6419,Остало монетарно посредовање
6420,Делатност холдинг компанија
6430,"Поверенички фондови (трастови), инвестициони фондови и слични финансијски ентитети"
6491,Финансијски лизинг
6492,Остале услуге кредитирања
6499,"Остале непоменуте финансијске услуге, осим осигурања и пензијских фондова"
6511,Животно осигурање
6512,Неживотно осигурање
6520,Реосигурање
6530,Пензијски фондови
6611,Финансијске и робне берзе
6612,Брокерски послови с хартијама од вредности и берзанском робом
6619,"Остале помоћне делатности у пружању финансијских услуга, осим осигурања и пензијских фондова"
6621,Обрада одштетних захтева и процењивање ризика и штета
6622,Делатност заступника и посредника у осигурању
6629,Остале помоћне делатности у осигурању и пензијским фондовима
6630,Управљање фондовима
6810,Куповина и продаја властитих некретнина
6820,Изнајмљивање властитих или изнајмљених некретнина и управљање њима
6831,Делатност агенција за некретнине
6832,Управљање некретнинама за накнаду
6910,Правни послови
6920,"Рачуноводствени, књиговодствени и ревизорски послови; пореско саветовање"
7010,Управљање економским субјектом
7021,Делатност комуникација и односа с јавношћу
7022,Консултантске активности у вези с пословањем и осталим управљањем
7111,Архитектонска делатност
7112,Инжењерске делатности и техничко саветовање
7120,Техничко испитивање и анализе
7211,Истраживање и експериментални развој у биотехнологији
7219,Истраживање и развој у осталим природним и техничко-технолошким наукама
7220,Истраживање и развој у друштвеним и хуманистичким наукама
7311,Делатност рекламних агенција
7312,Медијско представљање
7320,Истраживање тржишта и испитивање јавног мњења
7410,Специјализоване дизајнерске делатности
7420,Фотографске услуге
7430,Превођење и услуге тумача
7490,"Остале стручне, научне и техничке делатности"
7500,Ветеринарска делатност
7711,Изнајмљивање и лизинг аутомобила и лаких моторних возила
7712,Изнајмљивање и лизинг камиона
7721,Изнајмљивање и лизинг опреме за рекреацију и спорт
7722,Изнајмљивање видео-касета и компакт-дискова
7729,Изнајмљивање и лизинг осталих предмета за личну употребу и употребу у домаћинству
7731,Изнајмљивање и лизинг пољопривредних машина и опреме
7732,Изнајмљивање и лизинг машина и опреме за грађевинарство
7733,Изнајмљивање и лизинг канцеларијских машина и канцеларијске опреме (укључујући рачунаре)
7734,Изнајмљивање и лизинг опреме за водени транспорт
7735,Изнајмљивање и лизинг опреме за ваздушни транспорт
7739,"Изнајмљивање и лизинг осталих машина, опреме и материјалних добара"
7740,"Лизинг интелектуалне својине и сличних производа, ауторских дела и предмета сродних права"
7810,Делатност агенција за запошљавање
7820,Делатност агенција за привремено запошљавање
7830,Остало уступање људских ресурса
7911,Делатност путничких агенција
7912,Делатност тур-оператора
7990,Остале услуге резервације и делатности повезане с њима
8010,Делатност приватног обезбеђења
8020,Услуге система обезбеђења
8030,Истражне делатности
8110,Услуге одржавања објеката
8121,Услуге редовног чишћења зграда
8122,Услуге осталог чишћења зграда и опреме 
8129,Услуге осталог чишћења
8130,Услуге уређења и одржавања околине
8211,Комбиноване канцеларијско-административне услуге
8219,"Фотокопирање, припремање докумената и друга специјализована канцеларијска подршка"
8220,Делатност позивних центара
8230,Организовање састанака и сајмова
8291,Делатност агенција за наплату потраживања и кредитних бироа
8292,Услуге паковања
8299,Остале услужне активности подршке пословању
8411,Делатност државних органа
8412,"Уређивање делатности субјеката који пружају здравствену заштиту, услуге у образовању и култури и друге друштвене услуге, осим обавезног социјалног осигурања"
8413,Уређење пословања и допринос успешнијем пословању у области економије
8421,Спољни послови
8422,Послови одбране
8423,Судске и правосудне делатности
8424,Обезбеђивање јавног реда и безбедности
8425,Делатност ватрогасних јединица
8430,Обавезно социјално осигурање
8510,Предшколско образовање
8520,Основно образовање
8531,Средње опште образовање
8532,Средње стручно образовање
8541,Образовање после средњег које није високо
8542,Високо образовање
8551,Спортско и рекреативно образовање
8552,Уметничко образовање
8553,Делатност школа за возаче
8559,Остало образовање
8560,Помоћне образовне делатности
8610,Делатност болница
8621,Општа медицинска пракса
8622,Специјалистичка медицинска пракса
8623,Стоматолошка пракса
8690,Остала здравствена заштита 
8710,Делатности смештајних установа с медицинском негом
8720,"Социјално старање у смештајним установама за лица с тешкоћама у развоју, душевно оболеле особе и особе с болестима зависности"
8730,Рад установа за стара лица и лица с посебним потребама
8790,Остали облици социјалне заштите са смештајем
8810,Социјална заштита без смештаја за стара лица и лица с посебним потребама
8891,Делатност дневне бриге о деци
8899,Остала непоменута социјална заштита без смештаја
9001,Извођачка уметност
9002,Друге уметничке делатности у оквиру извођачке уметности
9003,Уметничко стваралаштво
9004,Рад уметничких установа
9101,Делатности библиотека и архива
9102,Делатност музеја галерија и збирки
9103,"Заштита и одржавање непокретних културних добара, културно-историјских локација, зграда и сличних туристичких споменика"
9104,Делатност ботаничких и зоолошких вртова и заштита природних вредности
9200,Коцкање и клађење
9311,Делатност спортских објеката
9312,Делатност спортских клубова
9313,Делатност фитнес клубова
9319,Остале спортске делатности
9321,Делатност забавних и тематских паркова
9329,Остале забавне и рекреативне делатности
9411,Делатности пословних удружења и удружења послодаваца
9412,Делатности струковних удружења 
9420,Делатност синдиката
9491,Делатност верских организација
9492,Делатност политичких организација
9499,Делатност осталих организација на бази учлањења
9511,Поправка рачунара и периферне опреме
9512,Поправка комуникационе опреме
9521,Поправка електронских апарата за широку употребу
9522,Поправка апарата за домаћинство и кућне и баштенске опреме
9523,Поправка обуће и предмета од коже
9524,Одржавање и поправка намештаја
9525,Поправка сатова и накита
9529,Поправка осталих личних предмета и предмета за домаћинство
9601,Прање и хемијско чишћење текстилних и крзнених производа
9602,Делатност фризерских и козметичких салона
9603,Погребне и сродне делатности
9604,Делатност неге и одржавања тела
9609,Остале непоменуте личне услужне делатности
9700,Делатност домаћинстава која запошљавају послугу
9810,Делатност домаћинстава која производе робу за сопствене потребе
9820,Делатност домаћинстава која обезбеђују услуге за сопствене потребе
9900,Делатност екстериторијалних организација и тела
